name,name_en,birth_year,birth_month,death_year,death_month,roles,biography,source
秦始皇,Qin Shi Huang,-259,12,-210,9,"emperor,military_leader,reformer","中国历史上第一位皇帝，完成了中国的统一，建立了秦朝。在位期间推行了郡县制、统一度量衡等重要改革，对中国历史产生了深远影响。",史记
汉武帝,Han Wudi,-156,6,-87,3,"emperor,military_strategist","西汉中期的皇帝，推行了对匈奴的大规模军事行动，开拓了丝绸之路，使汉朝达到了极盛。",史记
唐太宗,Tang Taizong,599,1,649,6,"emperor,military_leader,reformer","唐初杰出皇帝，开创了贞观之治。在位期间推崇文治，任用贤能的廷臣，国家政治清明，经济发展，军事力量强大。",《资治通鉴》
唐玄宗,Tang Xuanzong,685,9,762,12,"emperor,cultural_patron","唐中期皇帝，前期推行开元盛世政策，使唐朝达到鼎盛。但后期宠幸杨贵妃，导致政治腐败，最终引发安史之乱。",《资治通鉴》
安禄山,An Lushan,703,1,757,2,"general,military_leader,rebel","唐代胡人将领，因军功得宠。后起兵反唐，引发了影响深远的安史之乱，最终兵败自杀。",《资治通鉴》
杜甫,Du Fu,712,2,770,5,"poet,official,scholar","唐代伟大诗人，被誉为'诗圣'。一生经历坎坷，历经开元盛世和安史之乱，诗歌内容丰富，反映了社会现实。",旧唐书
李白,Li Bai,701,2,762,11,"poet,writer,scholar","唐代伟大诗人，被誉为'诗仙'。风格豪迈奔放，想象力丰富，是中国古代最伟大的诗人之一。",旧唐书
武则天,Wu Zetian,624,2,705,11,"emperor,empress_consort,political_leader","中国历史上唯一的女皇帝，曾为唐高宗皇后，后建立武周。推行了一系列改革，使国家富强。",《资治通鉴》
康熙,Kangxi,1654,4,1722,11,"emperor,military_strategist,patron_of_learning","清代杰出皇帝，在位 61 年。平定三藩之乱，统一台湾，对外用兵成功，对内推崇儒学，使清朝进入康乾盛世。",清史稿
乾隆,Qianlong,1711,9,1799,2,"emperor,military_strategist,cultural_patron","清代最后一位有作为的皇帝。在其统治期间，清朝领土最大，国力最强，文化艺术达到中国古代的最高成就。",清史稿
曾国藩,Zeng Guofan,1811,11,1872,3,"military_leader,official,scholar","晚清中兴名臣，军事家和政治家。组织湘军对抗太平天国，战胜后逐渐成为晚清权力中枢的重要人物。",晚清人物传记
李鸿章,Li Hongzhang,1823,2,1901,11,"military_leader,official,diplomat","晚清洋务派代表，军事家和外交家。推行洋务运动，参与多次对外谈判，对晚清政治产生了重大影响。",晚清人物传记
林则徐,Lin Zexu,1785,8,1850,11,"official,military_leader,reformer","清代中期官员，著名的禁烟运动领导者。与英军的鸦片战争中奋力抵抗，为中国早期反帝国主义斗争的先驱。",清史稿
孙中山,Sun Yat-sen,1866,11,1925,3,"revolutionary,political_leader,founder","中国近代民族民主革命的伟大先驱，中华民国的创建者。推翻了满清统治，建立了共和制政体。",民国人物传记
毛泽东,Mao Zedong,1893,12,1976,9,"military_leader,political_leader,founder","中国共产党和新中国的主要创建人。领导中国人民进行了伟大的社会主义建设，改变了中国的历史面貌。",中国共产党历史
周恩来,Zhou Enlai,1898,3,1976,1,"political_leader,diplomat,military_leader","中国共产党和新中国的重要领导人。担任总理期间，推行独立自主的外交政策，为中国国力的增强做出了巨大贡献。",中国共产党历史
邓小平,Deng Xiaoping,1904,8,1997,2,"political_leader,military_leader,reformer","中国改革开放的总设计师。推行了一系列改革开放政策，使中国开始走向现代化，成为了新时代的领路人。",当代中国政治史
织田信长,Oda Nobunaga,1534,7,1582,6,"military_leader,warlord","日本战国时代的著名将领，在日本统一战争中起了重要作用，但后来在本能寺之变中遇难身亡。",日本战国史
豐臣秀吉,Toyotomi Hideyoshi,1537,1,1598,9,"military_leader,political_leader,warlord","日本战国晚期的杰出统治者，继织田信长之后，完成了日本列岛的统一，建立了丰臣政权。",日本战国史
德川家康,Tokugawa Ieyasu,1543,1,1616,1,"military_leader,political_leader,founder","日本江户时代的创建者。战国末期建立了德川幕府，使日本进入了长期的和平与稳定时期，统治长达 265 年。",日本江户史